 17 Apr 09:38:28 LogHelper | logTestCaseFooter | - Test Case Checks  = 0
 17 Apr 09:38:28 LogHelper | logTestCaseFooter | - Test Case Errors  = 0
 17 Apr 09:38:28 LogHelper | logTestCaseFooter | - Test Case Known Issues = 
 17 Apr 09:38:28 LogHelper | logTestCaseFooter | - Test Case Status  = FAIL
 17 Apr 09:38:28 LogHelper | logTestCaseFooter | - Test Case Time 	= Wed Apr 17 09:38:28 CDT 2013
 17 Apr 09:38:28 LogHelper | logTestCaseFooter | - Test Case End 	= Wed Apr 17 09:38:28 CDT 2013
 17 Apr 09:38:28 LogHelper | logTestCaseSepStar | - *********************************************************************************
 17 Apr 09:39:23 DefaultRequestDirector | tryExecute | - I/O exception (org.apache.http.NoHttpResponseException) caught when processing request: The target server failed to respond
 17 Apr 09:39:23 DefaultRequestDirector | tryExecute | - Retrying request
 17 Apr 09:39:23 LogHelper | logTestCaseSepStar | - *********************************************************************************
 17 Apr 09:39:23 LogHelper | logTestCaseHeader | - Test Case Id    = impersonatePage
 17 Apr 09:39:23 LogHelper | logTestCaseHeader | - Test Case Desc  = Validates
 17 Apr 09:39:23 LogHelper | logTestCaseHeader | - Test Case Start = Wed Apr 17 09:39:23 CDT 2013
 17 Apr 09:39:23 LogHelper | logTestCaseDash | - ---------------------------------------------------------------------------------
 17 Apr 09:39:24 LogHelper | logTestCaseDash | - ---------------------------------------------------------------------------------
 17 Apr 09:39:24 LogHelper | logTestCaseFooter | - Test Case Checks  = 1
 17 Apr 09:39:24 LogHelper | logTestCaseFooter | - Test Case Errors  = 1
 17 Apr 09:39:24 LogHelper | logTestCaseFooter | - Test Case Known Issues = 
 17 Apr 09:39:24 LogHelper | logTestCaseFooter | - Test Case Status  = FAIL
 17 Apr 09:39:24 LogHelper | logTestCaseFooter | - Test Case Time 	= Wed Apr 17 09:39:24 CDT 2013
 17 Apr 09:39:24 LogHelper | logTestCaseFooter | - Test Case End 	= Wed Apr 17 09:39:24 CDT 2013
 17 Apr 09:39:24 LogHelper | logTestCaseSepStar | - *********************************************************************************
 17 Apr 09:40:25 DefaultRequestDirector | tryExecute | - I/O exception (org.apache.http.NoHttpResponseException) caught when processing request: The target server failed to respond
 17 Apr 09:40:25 DefaultRequestDirector | tryExecute | - Retrying request
 17 Apr 09:40:25 LogHelper | logTestCaseSepStar | - *********************************************************************************
 17 Apr 09:40:25 LogHelper | logTestCaseHeader | - Test Case Id    = impersonatePage
 17 Apr 09:40:25 LogHelper | logTestCaseHeader | - Test Case Desc  = Validates
 17 Apr 09:40:25 LogHelper | logTestCaseHeader | - Test Case Start = Wed Apr 17 09:40:25 CDT 2013
 17 Apr 09:40:25 LogHelper | logTestCaseDash | - ---------------------------------------------------------------------------------
 17 Apr 09:40:25 LogHelper | logTestCaseDash | - ---------------------------------------------------------------------------------
 17 Apr 09:40:25 LogHelper | logTestCaseFooter | - Test Case Checks  = 1
 17 Apr 09:40:25 LogHelper | logTestCaseFooter | - Test Case Errors  = 1
 17 Apr 09:40:25 LogHelper | logTestCaseFooter | - Test Case Known Issues = 
 17 Apr 09:40:25 LogHelper | logTestCaseFooter | - Test Case Status  = FAIL
 17 Apr 09:40:25 LogHelper | logTestCaseFooter | - Test Case Time 	= Wed Apr 17 09:40:25 CDT 2013
 17 Apr 09:40:25 LogHelper | logTestCaseFooter | - Test Case End 	= Wed Apr 17 09:40:25 CDT 2013
 17 Apr 09:40:25 LogHelper | logTestCaseSepStar | - *********************************************************************************
 17 Apr 09:42:18 DefaultRequestDirector | tryExecute | - I/O exception (org.apache.http.NoHttpResponseException) caught when processing request: The target server failed to respond
 17 Apr 09:42:18 DefaultRequestDirector | tryExecute | - Retrying request
 17 Apr 09:42:19 LogHelper | logTestCaseSepStar | - *********************************************************************************
 17 Apr 09:42:19 LogHelper | logTestCaseHeader | - Test Case Id    = impersonatePage
 17 Apr 09:42:19 LogHelper | logTestCaseHeader | - Test Case Desc  = Validates
 17 Apr 09:42:19 LogHelper | logTestCaseHeader | - Test Case Start = Wed Apr 17 09:42:19 CDT 2013
 17 Apr 09:42:19 LogHelper | logTestCaseDash | - ---------------------------------------------------------------------------------
 17 Apr 09:42:19 LogHelper | logTestCaseDash | - ---------------------------------------------------------------------------------
 17 Apr 09:42:19 LogHelper | logTestCaseFooter | - Test Case Checks  = 1
 17 Apr 09:42:19 LogHelper | logTestCaseFooter | - Test Case Errors  = 1
 17 Apr 09:42:19 LogHelper | logTestCaseFooter | - Test Case Known Issues = 
 17 Apr 09:42:19 LogHelper | logTestCaseFooter | - Test Case Status  = FAIL
 17 Apr 09:42:19 LogHelper | logTestCaseFooter | - Test Case Time 	= Wed Apr 17 09:42:19 CDT 2013
 17 Apr 09:42:19 LogHelper | logTestCaseFooter | - Test Case End 	= Wed Apr 17 09:42:19 CDT 2013
 17 Apr 09:42:19 LogHelper | logTestCaseSepStar | - *********************************************************************************
